"Origin_Country","Dest_Country","Inbound_Volume","Date_Obj","Year","Month","Type","Global_Inbound_Volume"
"Bangladesh","China",8850,2016-01-01,2016,1,"History",4865022
"Bangladesh","China",6727,2016-02-01,2016,2,"History",5219579
"Bangladesh","China",9438,2016-03-01,2016,3,"History",4954010
"Bangladesh","China",10206,2016-04-01,2016,4,"History",4950277
"Bangladesh","China",9630,2016-05-01,2016,5,"History",5117595
"Bangladesh","China",8484,2016-06-01,2016,6,"History",5074460
"Bangladesh","China",9034,2016-07-01,2016,7,"History",5709016
"Bangladesh","China",8943,2016-08-01,2016,8,"History",5754273
"Bangladesh","China",9866,2016-09-01,2016,9,"History",5219704
"Bangladesh","China",10089,2016-10-01,2016,10,"History",5369074
"Bangladesh","China",9526,2016-11-01,2016,11,"History",4631629
"Bangladesh","China",9123,2016-12-01,2016,12,"History",4894122
"Bangladesh","China",9416,2017-01-01,2017,1,"History",5323435
"Bangladesh","China",7805,2017-02-01,2017,2,"History",4995617
"Bangladesh","China",11306,2017-03-01,2017,3,"History",5148149
"Bangladesh","China",13352,2017-04-01,2017,4,"History",5029898
"Bangladesh","China",12475,2017-05-01,2017,5,"History",5221640
"Bangladesh","China",12058,2017-06-01,2017,6,"History",5241546
"Bangladesh","China",12937,2017-07-01,2017,7,"History",5857053
"Bangladesh","China",13220,2017-08-01,2017,8,"History",5982731
"Bangladesh","China",13381,2017-09-01,2017,9,"History",5458671
"Bangladesh","China",13372,2017-10-01,2017,10,"History",5703288
"Bangladesh","China",12821,2017-11-01,2017,11,"History",5227920
"Bangladesh","China",11529,2017-12-01,2017,12,"History",5440839
"Bangladesh","China",11785,2018-01-01,2018,1,"History",5507951
"Bangladesh","China",10318,2018-02-01,2018,2,"History",5826348
"Bangladesh","China",14635,2018-03-01,2018,3,"History",5864903
"Bangladesh","China",14038,2018-04-01,2018,4,"History",5752919
"Bangladesh","China",11826,2018-05-01,2018,5,"History",5951604
"Bangladesh","China",11266,2018-06-01,2018,6,"History",6003233
"Bangladesh","China",11464,2018-07-01,2018,7,"History",6516943
"Bangladesh","China",11599,2018-08-01,2018,8,"History",6665448
"Bangladesh","China",14073,2018-09-01,2018,9,"History",6094741
"Bangladesh","China",16020,2018-10-01,2018,10,"History",6260555
"Bangladesh","China",16397,2018-11-01,2018,11,"History",5616744
"Bangladesh","China",13471,2018-12-01,2018,12,"History",5862846
"Bangladesh","China",16023,2019-01-01,2019,1,"History",6157987
"Bangladesh","China",11138,2019-02-01,2019,2,"History",6070095
"Bangladesh","China",16151,2019-03-01,2019,3,"History",6137055
"Bangladesh","China",14874,2019-04-01,2019,4,"History",6172751
"Bangladesh","China",13663,2019-05-01,2019,5,"History",6508387
"Bangladesh","China",13843,2019-06-01,2019,6,"History",6456942
"Bangladesh","China",14123,2019-07-01,2019,7,"History",6899196
"Bangladesh","China",12875,2019-08-01,2019,8,"History",7102432
"Bangladesh","China",16057,2019-09-01,2019,9,"History",6458966
"Bangladesh","China",14842,2019-10-01,2019,10,"History",6391475
"Bangladesh","China",14764,2019-11-01,2019,11,"History",6085336
"Bangladesh","China",13797,2019-12-01,2019,12,"History",6332301
"Bangladesh","China",13355,2020-01-01,2020,1,"History",6862967
"Bangladesh","China",5222,2020-02-01,2020,2,"History",2478638
"Bangladesh","China",4174,2020-03-01,2020,3,"History",1106191
"Bangladesh","China",1309,2020-04-01,2020,4,"History",246588
"Bangladesh","China",897,2020-05-01,2020,5,"History",357357
"Bangladesh","China",1083,2020-06-01,2020,6,"History",253627
"Bangladesh","China",1487,2020-07-01,2020,7,"History",461530
"Bangladesh","China",1368,2020-08-01,2020,8,"History",518566
"Bangladesh","China",1963,2020-09-01,2020,9,"History",483109
"Bangladesh","China",1907,2020-10-01,2020,10,"History",390805
"Bangladesh","China",1849,2020-11-01,2020,11,"History",303712
"Bangladesh","China",2016,2020-12-01,2020,12,"History",317867
"Bangladesh","China",1510,2021-01-01,2021,1,"History",296013
"Bangladesh","China",1491,2021-02-01,2021,2,"History",213205
"Bangladesh","China",1647,2021-03-01,2021,3,"History",296224
"Bangladesh","China",1015,2021-04-01,2021,4,"History",295662
"Bangladesh","China",1889,2021-05-01,2021,5,"History",330216
"Bangladesh","China",1985,2021-06-01,2021,6,"History",309384
"Bangladesh","China",1336,2021-07-01,2021,7,"History",334234
"Bangladesh","China",1159,2021-08-01,2021,8,"History",248113
"Bangladesh","China",1123,2021-09-01,2021,9,"History",245224
"Bangladesh","China",767,2021-10-01,2021,10,"History",222823
"Bangladesh","China",422,2021-11-01,2021,11,"History",222767
"Bangladesh","China",998,2021-12-01,2021,12,"History",277777
"Bangladesh","China",2498,2022-01-01,2022,1,"History",320683
"Bangladesh","China",1371,2022-02-01,2022,2,"History",320263
"Bangladesh","China",1692,2022-03-01,2022,3,"History",283530
"Bangladesh","China",929,2022-04-01,2022,4,"History",237870
"Bangladesh","China",1187,2022-05-01,2022,5,"History",235955
"Bangladesh","China",1276,2022-06-01,2022,6,"History",270481
"Bangladesh","China",1090,2022-07-01,2022,7,"History",300417
"Bangladesh","China",1262,2022-08-01,2022,8,"History",353354
"Bangladesh","China",1156,2022-09-01,2022,9,"History",407289
"Bangladesh","China",1166,2022-10-01,2022,10,"History",455004
"Bangladesh","China",1374,2022-11-01,2022,11,"History",518559
"Bangladesh","China",2087,2022-12-01,2022,12,"History",672848
"Bangladesh","China",2244,2023-01-01,2023,1,"History",899304
"Bangladesh","China",4084,2023-02-01,2023,2,"History",1194978
"Bangladesh","China",9472,2023-03-01,2023,3,"History",1813133
"Bangladesh","China",11952,2023-04-01,2023,4,"History",2495065
"Bangladesh","China",12619,2023-05-01,2023,5,"History",2909338
"Bangladesh","China",12048,2023-06-01,2023,6,"History",3174919
"Bangladesh","China",10210,2023-07-01,2023,7,"History",3742665
"Bangladesh","China",11512,2023-08-01,2023,8,"History",3843241
"Bangladesh","China",14734,2023-09-01,2023,9,"History",3686623
"Bangladesh","China",13975,2023-10-01,2023,10,"History",3941185
"Bangladesh","China",13396,2023-11-01,2023,11,"History",3629584
"Bangladesh","China",11840,2023-12-01,2023,12,"History",4132052
"Bangladesh","China",12246,2024-01-01,2024,1,"History",4063541
"Bangladesh","China",11231,2024-02-01,2024,2,"History",4423465
"Bangladesh","China",13138,2024-03-01,2024,3,"History",4212938
"Bangladesh","China",12978,2024-04-01,2024,4,"History",4407186
"Bangladesh","China",12703,2024-05-01,2024,5,"History",4644385
"Bangladesh","China",13842,2024-06-01,2024,6,"History",4740208
"Bangladesh","China",13450,2024-07-01,2024,7,"History",5447508
"Bangladesh","China",11717,2024-08-01,2024,8,"History",5552120
"Bangladesh","China",14242,2024-09-01,2024,9,"History",4954285
"Bangladesh","China",15570,2024-10-01,2024,10,"History",5250300
"Bangladesh","China",15035,2024-11-01,2024,11,"History",4738392
"Bangladesh","China",14275,2024-12-01,2024,12,"History",5064071
"Bangladesh","China",14747,2025-01-01,2025,1,"History",5613661
"Bangladesh","China",13129,2025-02-01,2025,2,"History",4913588
"Bangladesh","China",15392,2025-03-01,2025,3,"History",4997519
"Bangladesh","China",16731,2025-04-01,2025,4,"History",5350493
"Bangladesh","China",17234,2025-05-01,2025,5,"History",5492833
"Bangladesh","China",16004,2025-06-01,2025,6,"History",5459307
"Bangladesh","China",16657,2025-07-01,2025,7,"History",6071216
"Bangladesh","China",18210,2025-08-01,2025,8,"History",6167707
"Bangladesh","China",22507,2025-09-01,2025,9,"History",5497802
"Bangladesh","China",21919,2025-10-01,2025,10,"History",5940837
"Bangladesh","China",23125,2025-11-01,2025,11,"History",5444720
"Bangladesh","China",20925.7794555827,2025-12-01,2025,12,"Forecast",6188624.41543852
"Bangladesh","China",22034.6411982872,2026-01-01,2026,1,"Forecast",6826484.76487138
"Bangladesh","China",16608.4440377934,2026-02-01,2026,2,"Forecast",6515658.70563019
"Bangladesh","China",21684.0325545319,2026-03-01,2026,3,"Forecast",6429563.53428485
"Bangladesh","China",22041.2133957391,2026-04-01,2026,4,"Forecast",6106720.82890272
"Bangladesh","China",21102.7092709075,2026-05-01,2026,5,"Forecast",6753037.87747828
"India","China",40106,2016-01-01,2016,1,"History",4865022
"India","China",39824,2016-02-01,2016,2,"History",5219579
"India","China",51771,2016-03-01,2016,3,"History",4954010
"India","China",44802,2016-04-01,2016,4,"History",4950277
"India","China",41500,2016-05-01,2016,5,"History",5117595
"India","China",41690,2016-06-01,2016,6,"History",5074460
"India","China",45123,2016-07-01,2016,7,"History",5709016
"India","China",42928,2016-08-01,2016,8,"History",5754273
"India","China",46906,2016-09-01,2016,9,"History",5219704
"India","China",49860,2016-10-01,2016,10,"History",5369074
"India","China",47789,2016-11-01,2016,11,"History",4631629
"India","China",44983,2016-12-01,2016,12,"History",4894122
"India","China",39460,2017-01-01,2017,1,"History",5323435
"India","China",44232,2017-02-01,2017,2,"History",4995617
"India","China",55454,2017-03-01,2017,3,"History",5148149
"India","China",52246,2017-04-01,2017,4,"History",5029898
"India","China",47382,2017-05-01,2017,5,"History",5221640
"India","China",46270,2017-06-01,2017,6,"History",5241546
"India","China",46274,2017-07-01,2017,7,"History",5857053
"India","China",42073,2017-08-01,2017,8,"History",5982731
"India","China",50197,2017-09-01,2017,9,"History",5458671
"India","China",48393,2017-10-01,2017,10,"History",5703288
"India","China",51219,2017-11-01,2017,11,"History",5227920
"India","China",46168,2017-12-01,2017,12,"History",5440839
"India","China",45178,2018-01-01,2018,1,"History",5507951
"India","China",36461,2018-02-01,2018,2,"History",5826348
"India","China",61970,2018-03-01,2018,3,"History",5864903
"India","China",57081,2018-04-01,2018,4,"History",5752919
"India","China",50682,2018-05-01,2018,5,"History",5951604
"India","China",48954,2018-06-01,2018,6,"History",6003233
"India","China",51928,2018-07-01,2018,7,"History",6516943
"India","China",49686,2018-08-01,2018,8,"History",6665448
"India","China",58572,2018-09-01,2018,9,"History",6094741
"India","China",61149,2018-10-01,2018,10,"History",6260555
"India","China",54384,2018-11-01,2018,11,"History",5616744
"India","China",53755,2018-12-01,2018,12,"History",5862846
"India","China",46520,2019-01-01,2019,1,"History",6157987
"India","China",43703,2019-02-01,2019,2,"History",6070095
"India","China",60601,2019-03-01,2019,3,"History",6137055
"India","China",56594,2019-04-01,2019,4,"History",6172751
"India","China",52966,2019-05-01,2019,5,"History",6508387
"India","China",52464,2019-06-01,2019,6,"History",6456942
"India","China",53029,2019-07-01,2019,7,"History",6899196
"India","China",53306,2019-08-01,2019,8,"History",7102432
"India","China",64992,2019-09-01,2019,9,"History",6458966
"India","China",64026,2019-10-01,2019,10,"History",6391475
"India","China",65652,2019-11-01,2019,11,"History",6085336
"India","China",61513,2019-12-01,2019,12,"History",6332301
"India","China",53214,2020-01-01,2020,1,"History",6862967
"India","China",22875,2020-02-01,2020,2,"History",2478638
"India","China",11923,2020-03-01,2020,3,"History",1106191
"India","China",2612,2020-04-01,2020,4,"History",246588
"India","China",2890,2020-05-01,2020,5,"History",357357
"India","China",3262,2020-06-01,2020,6,"History",253627
"India","China",4497,2020-07-01,2020,7,"History",461530
"India","China",3733,2020-08-01,2020,8,"History",518566
"India","China",4061,2020-09-01,2020,9,"History",483109
"India","China",2623,2020-10-01,2020,10,"History",390805
"India","China",2295,2020-11-01,2020,11,"History",303712
"India","China",3138,2020-12-01,2020,12,"History",317867
"India","China",4794,2021-01-01,2021,1,"History",296013
"India","China",2478,2021-02-01,2021,2,"History",213205
"India","China",3605,2021-03-01,2021,3,"History",296224
"India","China",2851,2021-04-01,2021,4,"History",295662
"India","China",3667,2021-05-01,2021,5,"History",330216
"India","China",735,2021-06-01,2021,6,"History",309384
"India","China",96,2021-07-01,2021,7,"History",334234
"India","China",526,2021-08-01,2021,8,"History",248113
"India","China",558,2021-09-01,2021,9,"History",245224
"India","China",606,2021-10-01,2021,10,"History",222823
"India","China",430,2021-11-01,2021,11,"History",222767
"India","China",829,2021-12-01,2021,12,"History",277777
"India","China",756,2022-01-01,2022,1,"History",320683
"India","China",712,2022-02-01,2022,2,"History",320263
"India","China",877,2022-03-01,2022,3,"History",283530
"India","China",1226,2022-04-01,2022,4,"History",237870
"India","China",1454,2022-05-01,2022,5,"History",235955
"India","China",1336,2022-06-01,2022,6,"History",270481
"India","China",1326,2022-07-01,2022,7,"History",300417
"India","China",1500,2022-08-01,2022,8,"History",353354
"India","China",1596,2022-09-01,2022,9,"History",407289
"India","China",1711,2022-10-01,2022,10,"History",455004
"India","China",2124,2022-11-01,2022,11,"History",518559
"India","China",2641,2022-12-01,2022,12,"History",672848
"India","China",3716,2023-01-01,2023,1,"History",899304
"India","China",7242,2023-02-01,2023,2,"History",1194978
"India","China",12372,2023-03-01,2023,3,"History",1813133
"India","China",15726,2023-04-01,2023,4,"History",2495065
"India","China",17393,2023-05-01,2023,5,"History",2909338
"India","China",19475,2023-06-01,2023,6,"History",3174919
"India","China",20381,2023-07-01,2023,7,"History",3742665
"India","China",19506,2023-08-01,2023,8,"History",3843241
"India","China",22170,2023-09-01,2023,9,"History",3686623
"India","China",27840,2023-10-01,2023,10,"History",3941185
"India","China",24724,2023-11-01,2023,11,"History",3629584
"India","China",22598,2023-12-01,2023,12,"History",4132052
"India","China",21272,2024-01-01,2024,1,"History",4063541
"India","China",14986,2024-02-01,2024,2,"History",4423465
"India","China",26585,2024-03-01,2024,3,"History",4212938
"India","China",30203,2024-04-01,2024,4,"History",4407186
"India","China",26834,2024-05-01,2024,5,"History",4644385
"India","China",27535,2024-06-01,2024,6,"History",4740208
"India","China",25081,2024-07-01,2024,7,"History",5447508
"India","China",25926,2024-08-01,2024,8,"History",5552120
"India","China",24258,2024-09-01,2024,9,"History",4954285
"India","China",26562,2024-10-01,2024,10,"History",5250300
"India","China",24366,2024-11-01,2024,11,"History",4738392
"India","China",25187,2024-12-01,2024,12,"History",5064071
"India","China",19699,2025-01-01,2025,1,"History",5613661
"India","China",19355,2025-02-01,2025,2,"History",4913588
"India","China",27503,2025-03-01,2025,3,"History",4997519
"India","China",32314,2025-04-01,2025,4,"History",5350493
"India","China",24925,2025-05-01,2025,5,"History",5492833
"India","China",28051,2025-06-01,2025,6,"History",5459307
"India","China",24916,2025-07-01,2025,7,"History",6071216
"India","China",25523,2025-08-01,2025,8,"History",6167707
"India","China",28015,2025-09-01,2025,9,"History",5497802
"India","China",29954,2025-10-01,2025,10,"History",5940837
"India","China",36081,2025-11-01,2025,11,"History",5444720
"India","China",33271.3343124278,2025-12-01,2025,12,"Forecast",6188624.41543852
"India","China",28420.1768069672,2026-01-01,2026,1,"Forecast",6826484.76487138
"India","China",31203.7327018655,2026-02-01,2026,2,"Forecast",6515658.70563019
"India","China",41603.2574146823,2026-03-01,2026,3,"Forecast",6429563.53428485
"India","China",53907.8949312899,2026-04-01,2026,4,"Forecast",6106720.82890272
"India","China",54496.5272512026,2026-05-01,2026,5,"Forecast",6753037.87747828
"Malaysia","China",138898,2016-01-01,2016,1,"History",4865022
"Malaysia","China",151352,2016-02-01,2016,2,"History",5219579
"Malaysia","China",149026,2016-03-01,2016,3,"History",4954010
"Malaysia","China",147805,2016-04-01,2016,4,"History",4950277
"Malaysia","China",152600,2016-05-01,2016,5,"History",5117595
"Malaysia","China",147609,2016-06-01,2016,6,"History",5074460
"Malaysia","China",170022,2016-07-01,2016,7,"History",5709016
"Malaysia","China",179122,2016-08-01,2016,8,"History",5754273
"Malaysia","China",166865,2016-09-01,2016,9,"History",5219704
"Malaysia","China",168487,2016-10-01,2016,10,"History",5369074
"Malaysia","China",167213,2016-11-01,2016,11,"History",4631629
"Malaysia","China",175631,2016-12-01,2016,12,"History",4894122
"Malaysia","China",188620,2017-01-01,2017,1,"History",5323435
"Malaysia","China",177241,2017-02-01,2017,2,"History",4995617
"Malaysia","China",195257,2017-03-01,2017,3,"History",5148149
"Malaysia","China",201303,2017-04-01,2017,4,"History",5029898
"Malaysia","China",207394,2017-05-01,2017,5,"History",5221640
"Malaysia","China",201155,2017-06-01,2017,6,"History",5241546
"Malaysia","China",225392,2017-07-01,2017,7,"History",5857053
"Malaysia","China",234870,2017-08-01,2017,8,"History",5982731
"Malaysia","China",208704,2017-09-01,2017,9,"History",5458671
"Malaysia","China",218874,2017-10-01,2017,10,"History",5703288
"Malaysia","China",209519,2017-11-01,2017,11,"History",5227920
"Malaysia","China",223857,2017-12-01,2017,12,"History",5440839
"Malaysia","China",227163,2018-01-01,2018,1,"History",5507951
"Malaysia","China",226510,2018-02-01,2018,2,"History",5826348
"Malaysia","China",239538,2018-03-01,2018,3,"History",5864903
"Malaysia","China",226294,2018-04-01,2018,4,"History",5752919
"Malaysia","China",233547,2018-05-01,2018,5,"History",5951604
"Malaysia","China",228584,2018-06-01,2018,6,"History",6003233
"Malaysia","China",248229,2018-07-01,2018,7,"History",6516943
"Malaysia","China",255571,2018-08-01,2018,8,"History",6665448
"Malaysia","China",244349,2018-09-01,2018,9,"History",6094741
"Malaysia","China",255649,2018-10-01,2018,10,"History",6260555
"Malaysia","China",238736,2018-11-01,2018,11,"History",5616744
"Malaysia","China",251540,2018-12-01,2018,12,"History",5862846
"Malaysia","China",255377,2019-01-01,2019,1,"History",6157987
"Malaysia","China",249533,2019-02-01,2019,2,"History",6070095
"Malaysia","China",251315,2019-03-01,2019,3,"History",6137055
"Malaysia","China",241205,2019-04-01,2019,4,"History",6172751
"Malaysia","China",254871,2019-05-01,2019,5,"History",6508387
"Malaysia","China",238046,2019-06-01,2019,6,"History",6456942
"Malaysia","China",253711,2019-07-01,2019,7,"History",6899196
"Malaysia","China",259962,2019-08-01,2019,8,"History",7102432
"Malaysia","China",240583,2019-09-01,2019,9,"History",6458966
"Malaysia","China",249126,2019-10-01,2019,10,"History",6391475
"Malaysia","China",230388,2019-11-01,2019,11,"History",6085336
"Malaysia","China",242325,2019-12-01,2019,12,"History",6332301
"Malaysia","China",242745,2020-01-01,2020,1,"History",6862967
"Malaysia","China",109855,2020-02-01,2020,2,"History",2478638
"Malaysia","China",35824,2020-03-01,2020,3,"History",1106191
"Malaysia","China",13953,2020-04-01,2020,4,"History",246588
"Malaysia","China",9066,2020-05-01,2020,5,"History",357357
"Malaysia","China",6132,2020-06-01,2020,6,"History",253627
"Malaysia","China",12286,2020-07-01,2020,7,"History",461530
"Malaysia","China",12683,2020-08-01,2020,8,"History",518566
"Malaysia","China",12264,2020-09-01,2020,9,"History",483109
"Malaysia","China",10548,2020-10-01,2020,10,"History",390805
"Malaysia","China",9859,2020-11-01,2020,11,"History",303712
"Malaysia","China",10096,2020-12-01,2020,12,"History",317867
"Malaysia","China",9316,2021-01-01,2021,1,"History",296013
"Malaysia","China",6407,2021-02-01,2021,2,"History",213205
"Malaysia","China",9694,2021-03-01,2021,3,"History",296224
"Malaysia","China",6500,2021-04-01,2021,4,"History",295662
"Malaysia","China",7117,2021-05-01,2021,5,"History",330216
"Malaysia","China",5957,2021-06-01,2021,6,"History",309384
"Malaysia","China",4982,2021-07-01,2021,7,"History",334234
"Malaysia","China",3363,2021-08-01,2021,8,"History",248113
"Malaysia","China",2278,2021-09-01,2021,9,"History",245224
"Malaysia","China",1876,2021-10-01,2021,10,"History",222823
"Malaysia","China",2838,2021-11-01,2021,11,"History",222767
"Malaysia","China",2963,2021-12-01,2021,12,"History",277777
"Malaysia","China",2928,2022-01-01,2022,1,"History",320683
"Malaysia","China",4613,2022-02-01,2022,2,"History",320263
"Malaysia","China",6653,2022-03-01,2022,3,"History",283530
"Malaysia","China",6647,2022-04-01,2022,4,"History",237870
"Malaysia","China",8021,2022-05-01,2022,5,"History",235955
"Malaysia","China",5743,2022-06-01,2022,6,"History",270481
"Malaysia","China",7622,2022-07-01,2022,7,"History",300417
"Malaysia","China",8484,2022-08-01,2022,8,"History",353354
"Malaysia","China",9803,2022-09-01,2022,9,"History",407289
"Malaysia","China",11159,2022-10-01,2022,10,"History",455004
"Malaysia","China",13269,2022-11-01,2022,11,"History",518559
"Malaysia","China",16975,2022-12-01,2022,12,"History",672848
"Malaysia","China",23922,2023-01-01,2023,1,"History",899304
"Malaysia","China",36908,2023-02-01,2023,2,"History",1194978
"Malaysia","China",68944,2023-03-01,2023,3,"History",1813133
"Malaysia","China",91010,2023-04-01,2023,4,"History",2495065
"Malaysia","China",129583,2023-05-01,2023,5,"History",2909338
"Malaysia","China",124017,2023-06-01,2023,6,"History",3174919
"Malaysia","China",167523,2023-07-01,2023,7,"History",3742665
"Malaysia","China",179947,2023-08-01,2023,8,"History",3843241
"Malaysia","China",181442,2023-09-01,2023,9,"History",3686623
"Malaysia","China",193568,2023-10-01,2023,10,"History",3941185
"Malaysia","China",154726,2023-11-01,2023,11,"History",3629584
"Malaysia","China",179064,2023-12-01,2023,12,"History",4132052
"Malaysia","China",169785,2024-01-01,2024,1,"History",4063541
"Malaysia","China",246085,2024-02-01,2024,2,"History",4423465
"Malaysia","China",216305,2024-03-01,2024,3,"History",4212938
"Malaysia","China",235792,2024-04-01,2024,4,"History",4407186
"Malaysia","China",255973,2024-05-01,2024,5,"History",4644385
"Malaysia","China",250490,2024-06-01,2024,6,"History",4740208
"Malaysia","China",326914,2024-07-01,2024,7,"History",5447508
"Malaysia","China",350127,2024-08-01,2024,8,"History",5552120
"Malaysia","China",323629,2024-09-01,2024,9,"History",4954285
"Malaysia","China",328203,2024-10-01,2024,10,"History",5250300
"Malaysia","China",301245,2024-11-01,2024,11,"History",4738392
"Malaysia","China",313217,2024-12-01,2024,12,"History",5064071
"Malaysia","China",343409,2025-01-01,2025,1,"History",5613661
"Malaysia","China",330136,2025-02-01,2025,2,"History",4913588
"Malaysia","China",319300,2025-03-01,2025,3,"History",4997519
"Malaysia","China",326482,2025-04-01,2025,4,"History",5350493
"Malaysia","China",333620,2025-05-01,2025,5,"History",5492833
"Malaysia","China",321500,2025-06-01,2025,6,"History",5459307
"Malaysia","China",360272,2025-07-01,2025,7,"History",6071216
"Malaysia","China",378906,2025-08-01,2025,8,"History",6167707
"Malaysia","China",349705,2025-09-01,2025,9,"History",5497802
"Malaysia","China",387632,2025-10-01,2025,10,"History",5940837
"Malaysia","China",368782,2025-11-01,2025,11,"History",5444720
"Malaysia","China",315539.918849863,2025-12-01,2025,12,"Forecast",6188624.41543852
"Malaysia","China",334280.037550042,2026-01-01,2026,1,"Forecast",6826484.76487138
"Malaysia","China",371385.37087267,2026-02-01,2026,2,"Forecast",6515658.70563019
"Malaysia","China",391549.020813346,2026-03-01,2026,3,"Forecast",6429563.53428485
"Malaysia","China",408020.110513996,2026-04-01,2026,4,"Forecast",6106720.82890272
"Malaysia","China",432917.211378632,2026-05-01,2026,5,"Forecast",6753037.87747828
"Philippines","China",44413,2016-01-01,2016,1,"History",4865022
"Philippines","China",58848,2016-02-01,2016,2,"History",5219579
"Philippines","China",52608,2016-03-01,2016,3,"History",4954010
"Philippines","China",51622,2016-04-01,2016,4,"History",4950277
"Philippines","China",51207,2016-05-01,2016,5,"History",5117595
